image_id,text,image_path
a01-000u-00,89 A|MOVE|to|stop|Mr.|Gaitskell|from,datasets/iam/lines/a01/a01-000u/a01-000u-00.png
a01-000u-01,105 nominating|any|more|Labour|life|Peers,datasets/iam/lines/a01/a01-000u/a01-000u-01.png
a01-000u-02,105 is|to|be|made|at|a|meeting|of|Labour,datasets/iam/lines/a01/a01-000u/a01-000u-02.png
a01-000u-03,66 M Ps|tomorrow|.,datasets/iam/lines/a01/a01-000u/a01-000u-03.png
a01-000u-00,68 Mr.|Michael|Foot|has,datasets/iam/lines/a01/a01-000u/a01-000u-00.png
a01-000u-01,94 put|down|a|resolution|on|the|subject,datasets/iam/lines/a01/a01-000u/a01-000u-01.png
a01-000u-02,88 and|he|is|to|be|backed|by|Mr.|Will,datasets/iam/lines/a01/a01-000u/a01-000u-02.png
a01-000u-03,"87 Griffiths|,|M P|for|Manchester|Exchange|.",datasets/iam/lines/a01/a01-000u/a01-000u-03.png
a01-000x-00,148 A|MOVE|to|stop|Mr.|Gaitskell|from|nominating,datasets/iam/lines/a01/a01-000x/a01-000x-00.png
a01-000x-01,148 any|more|Labour|life|Peers|is|to|be|made|at|a,datasets/iam/lines/a01/a01-000x/a01-000x-01.png
a01-000x-02,140 meeting|of|Labour|0M Ps|tomorrow|.,datasets/iam/lines/a01/a01-000x/a01-000x-02.png
a01-000x-00,80 Mr.|Michael,datasets/iam/lines/a01/a01-000x/a01-000x-00.png
a01-000x-01,154 Foot|has|put|down|a|resolution|on|the|subject,datasets/iam/lines/a01/a01-000x/a01-000x-01.png
a01-000x-02,"148 and|he|is|to|be|backed|by|Mr.|Will|Griffiths|,",datasets/iam/lines/a01/a01-000x/a01-000x-02.png
a01-000x-03,155 0M P|for|Manchester|Exchange|.,datasets/iam/lines/a01/a01-000x/a01-000x-03.png
a01-003-00,"139 Though|they|may|gather|some|Left-wing|support|,|a",datasets/iam/lines/a01/a01-003/a01-003-00.png
a01-003-01,126 large|majority|of|Labour|M Ps|are|likely|to,datasets/iam/lines/a01/a01-003/a01-003-01.png
a01-003-02,128 turn|down|the|Foot-Griffiths|resolution|.,datasets/iam/lines/a01/a01-003/a01-003-02.png
a01-003-00,56 Mr.,datasets/iam/lines/a01/a01-003/a01-003-00.png
a01-003-01,70 Foot's|line|will|be|that|as|Labour|M Ps,datasets/iam/lines/a01/a01-003/a01-003-01.png
a01-003-02,113 opposed|the|Government|Bill|which|brought,datasets/iam/lines/a01/a01-003/a01-003-02.png
a01-003-03,"143 life|peers|into|existence|,|they|should|not",datasets/iam/lines/a01/a01-003/a01-003-03.png
a01-003-04,126 now|put|forward|nominees|.,datasets/iam/lines/a01/a01-003/a01-003-04.png
a01-003-00,65 He|believes,datasets/iam/lines/a01/a01-003/a01-003-00.png
a01-003-01,129 that|the|House|of|Lords|should|be|abolished,datasets/iam/lines/a01/a01-003/a01-003-01.png
a01-003-02,117 and|that|Labour|should|not|take|any|steps,datasets/iam/lines/a01/a01-003/a01-003-02.png
a01-003-03,"125 which|would|appear|to|""|prop|up|""|an|out-dated",datasets/iam/lines/a01/a01-003/a01-003-03.png
a01-003-04,66 institution|.,datasets/iam/lines/a01/a01-003/a01-003-04.png
a01-003u-00,106 Though|they|may|gather|some|Left-wing,datasets/iam/lines/a01/a01-003u/a01-003u-00.png
a01-003u-01,"103 support|,|a|large|majority|of|Labour",datasets/iam/lines/a01/a01-003u/a01-003u-01.png
a01-003u-02,96 M Ps|are|likely|to|turn|down|the|Foot-,datasets/iam/lines/a01/a01-003u/a01-003u-02.png
a01-003u-03,75 Griffiths|resolution|.,datasets/iam/lines/a01/a01-003u/a01-003u-03.png
a01-003u-00,91 Mr.|Foot's|line|will,datasets/iam/lines/a01/a01-003u/a01-003u-00.png
a01-003u-01,103 be|that|as|Labour|M Ps|opposed|the,datasets/iam/lines/a01/a01-003u/a01-003u-01.png
a01-003u-02,104 Government|Bill|which|brought|life|peers,datasets/iam/lines/a01/a01-003u/a01-003u-02.png
a01-003u-03,"102 into|existence|,|they|should|not|now|put",datasets/iam/lines/a01/a01-003u/a01-003u-03.png
a01-003u-04,79 forward|nominees|.,datasets/iam/lines/a01/a01-003u/a01-003u-04.png
a01-003u-00,80 He|believes|that|the,datasets/iam/lines/a01/a01-003u/a01-003u-00.png
a01-003u-01,81 House|of|Lords|should|be|abolished|and,datasets/iam/lines/a01/a01-003u/a01-003u-01.png
a01-003u-02,91 that|Labour|should|not|take|any|steps,datasets/iam/lines/a01/a01-003u/a01-003u-02.png
a01-003u-03,"107 which|would|appear|to|""|prop|up|""|an|out-",datasets/iam/lines/a01/a01-003u/a01-003u-03.png
a01-003x-00,"167 Though|they|may|gather|some|Left-wing|support|,|a",datasets/iam/lines/a01/a01-003x/a01-003x-00.png
a01-003x-01,170 large|majority|of|Labour|0M Ps|are|likely|to|turn,datasets/iam/lines/a01/a01-003x/a01-003x-01.png
a01-003x-02,126 down|the|Foot-Griffiths|resolution|.,datasets/iam/lines/a01/a01-003x/a01-003x-02.png
a01-003x-00,88 Mr.|Foot's|line,datasets/iam/lines/a01/a01-003x/a01-003x-00.png
a01-003x-01,128 will|be|that|as|Labour|0M Ps|opposed|the|Govern-,datasets/iam/lines/a01/a01-003x/a01-003x-01.png
a01-003x-02,"158 ment|Bill|which|brought|life|peers|into|existence|,|they",datasets/iam/lines/a01/a01-003x/a01-003x-02.png
a01-003x-03,139 should|not|now|put|forward|nominees|.,datasets/iam/lines/a01/a01-003x/a01-003x-03.png
a01-003x-00,94 He|believes,datasets/iam/lines/a01/a01-003x/a01-003x-00.png
a01-003x-01,138 that|the|House|of|Lords|should|be|abolished|and,datasets/iam/lines/a01/a01-003x/a01-003x-01.png
a01-003x-02,133 that|Labour|should|not|take|any|steps|which|would,datasets/iam/lines/a01/a01-003x/a01-003x-02.png
a01-003x-03,"144 appear|to|""|prop|up|""|an|out-dated|institution|.",datasets/iam/lines/a01/a01-003x/a01-003x-03.png
a01-007-00,"97 Since|1958|,|13|Labour|life|Peers|and",datasets/iam/lines/a01/a01-007/a01-007-00.png
a01-007-01,79 Peeresses|have|been|created|.,datasets/iam/lines/a01/a01-007/a01-007-01.png
a01-007-00,85 Most|Labour,datasets/iam/lines/a01/a01-007/a01-007-00.png
a01-007-01,106 sentiment|would|#|still|favour|the|abolition,datasets/iam/lines/a01/a01-007/a01-007-01.png
